SEGMENT,PRODUCT,BRAND,EXPORTED
Refreshment Beverages,Bournvita,CADBURY BOURNVITA,No
Refreshment Beverages,Hot Chocolate,CADBURY 3-in-1 HOT CHOCOLATE,No
Confectionery,Tom Tom,TOMTOM CLASSIC,No
Confectionery,Buttermint,BUTTERMINT,No
Confectionery,Tom Tom,TOMTOM STRAWBERRY,No
Intermediate Cocoa Products,Cocoa Powder,COCOA POWDER,Locally
Intermediate Cocoa Products,Cocoa Butter,COCOA BUTTER,International
Intermediate Cocoa Products,Cocoa Liquor,COCOA LIQUOR,International
Intermediate Cocoa Products,Cocoa Cake,COCOA CAKE,International
